,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,punta arenas,-53.15,-70.9167,35.71,87.0,20.0,13.8,CL,1635038390.0
1,jamestown,42.097,-79.2353,45.01,95.0,90.0,1.99,US,1635038390.0
2,victoria,22.2855,114.1577,74.25,75.0,24.0,5.01,HK,1635038104.0
3,ushuaia,-54.8,-68.3,33.46,93.0,90.0,17.27,AR,1635038390.0
5,busselton,-33.65,115.3333,73.04,61.0,100.0,4.94,AU,1635038391.0
6,hermanus,-34.4187,19.2345,53.91,69.0,36.0,3.38,ZA,1635038391.0
7,naryan-mar,67.6713,53.087,25.41,90.0,44.0,7.63,RU,1635038023.0
9,port alfred,-33.5906,26.891,58.05,70.0,4.0,15.99,ZA,1635038392.0
10,tarakan,3.3,117.6333,85.5,84.0,20.0,4.61,ID,1635038392.0
11,arraial do cabo,-22.9661,-42.0278,73.36,88.0,75.0,17.27,BR,1635038392.0
12,anadyr,64.75,177.4833,3.7,78.0,40.0,6.71,RU,1635038392.0
13,butaritari,3.0707,172.7902,81.16,73.0,56.0,8.1,KI,1635038393.0
15,brest,52.1,23.7,41.63,67.0,100.0,10.25,BY,1635038393.0
16,thompson,55.7435,-97.8558,26.76,86.0,40.0,2.3,CA,1635038115.0
18,albany,42.6001,-73.9662,47.8,74.0,96.0,4.7,US,1635038394.0
19,barrow,71.2906,-156.7887,28.42,86.0,90.0,12.66,US,1635038103.0
20,east london,-33.0153,27.9116,59.47,67.0,14.0,18.3,ZA,1635038394.0
21,broken hill,-31.95,141.4333,62.85,36.0,0.0,12.06,AU,1635038394.0
22,bluff,-46.6,168.3333,52.7,91.0,100.0,3.27,NZ,1635038395.0
23,luderitz,-26.6481,15.1594,56.61,71.0,0.0,16.96,NA,1635038395.0
24,narang,31.9132,74.5176,62.69,80.0,100.0,11.23,PK,1635038395.0
25,shenjiamen,29.9576,122.298,65.32,69.0,100.0,14.81,CN,1635038396.0
26,komsomolskiy,40.4272,71.7189,38.62,70.0,0.0,6.91,UZ,1635038396.0
27,rikitea,-23.1203,-134.9692,75.0,80.0,100.0,19.13,PF,1635038396.0
28,vaini,-21.2,-175.2,77.16,78.0,20.0,12.66,TO,1635038397.0
29,yellowknife,62.456,-114.3525,41.56,85.0,75.0,13.8,CA,1635038397.0
30,new norfolk,-42.7826,147.0587,55.65,74.0,100.0,1.99,AU,1635038398.0
31,faanui,-16.4833,-151.75,78.51,78.0,88.0,14.18,PF,1635038398.0
32,port-gentil,-0.7193,8.7815,77.52,85.0,99.0,9.55,GA,1635038398.0
33,puerto ayora,-0.7393,-90.3518,69.3,87.0,90.0,8.3,EC,1635038399.0
34,beringovskiy,63.05,179.3167,13.3,72.0,3.0,7.14,RU,1635038399.0
36,ranong,9.9658,98.6348,78.73,87.0,100.0,4.03,TH,1635038399.0
37,san patricio,28.017,-97.5169,78.84,69.0,0.0,9.48,US,1635038399.0
38,castro,-24.7911,-50.0119,61.83,96.0,100.0,4.59,BR,1635038400.0
39,port hawkesbury,45.6169,-61.3485,61.7,99.0,90.0,3.0,CA,1635038401.0
40,caninde,-4.3589,-39.3117,77.97,69.0,20.0,1.7,BR,1635038223.0
41,barra do garcas,-15.89,-52.2567,80.46,60.0,100.0,5.39,BR,1635038293.0
42,kaitangata,-46.2817,169.8464,57.87,70.0,100.0,3.96,NZ,1635038401.0
45,vikindu,-7.0067,39.2985,71.24,91.0,59.0,0.51,TZ,1635038402.0
46,mirnyy,62.5353,113.9611,30.34,82.0,79.0,11.14,RU,1635038403.0
47,sozopol,42.4167,27.7,55.74,77.0,100.0,16.71,BG,1635038404.0
48,volga,57.9516,38.3879,38.1,90.0,100.0,6.67,RU,1635038404.0
49,georgetown,5.4112,100.3354,82.89,83.0,20.0,4.61,MY,1635038405.0
50,norman wells,65.282,-126.8329,37.44,70.0,75.0,2.3,CA,1635038411.0
51,carnarvon,-24.8667,113.6333,75.27,69.0,0.0,12.66,AU,1635038411.0
52,shafranovo,53.9667,54.7667,45.41,91.0,100.0,6.91,RU,1635038412.0
53,la grande,45.3246,-118.0877,51.04,82.0,100.0,5.73,US,1635038412.0
54,port elizabeth,-33.918,25.5701,57.49,72.0,0.0,14.97,ZA,1635038412.0
56,la libertad,-2.2333,-80.9,70.59,83.0,100.0,7.27,EC,1635038413.0
57,mezen,65.8522,44.24,30.4,92.0,100.0,5.75,RU,1635038413.0
58,port blair,11.6667,92.75,80.51,76.0,100.0,3.33,IN,1635038413.0
59,guangshui,31.6199,113.9978,58.37,59.0,5.0,3.98,CN,1635038414.0
60,flinders,-34.5833,150.8552,72.81,63.0,54.0,5.99,AU,1635038414.0
61,cape town,-33.9258,18.4232,54.27,73.0,20.0,6.91,ZA,1635038187.0
62,meulaboh,4.1363,96.1285,78.31,83.0,100.0,2.08,ID,1635038131.0
63,mahebourg,-20.4081,57.7,74.25,83.0,40.0,11.5,MU,1635038414.0
64,lompoc,34.6391,-120.4579,65.88,79.0,1.0,6.91,US,1635038415.0
65,mataura,-46.1927,168.8643,64.89,61.0,100.0,1.07,NZ,1635038395.0
66,cockburn town,21.4612,-71.1419,83.16,69.0,90.0,19.37,TC,1635038415.0
67,bathsheba,13.2167,-59.5167,83.01,69.0,75.0,20.71,BB,1635038415.0
69,cururupu,-1.8283,-44.8683,76.01,91.0,100.0,2.84,BR,1635038416.0
70,pegnitz,49.7564,11.545,36.48,89.0,0.0,3.36,DE,1635038416.0
71,mazagao,-0.115,-51.2894,84.25,79.0,93.0,5.44,BR,1635038417.0
72,ribeira grande,38.5167,-28.7,67.35,63.0,29.0,11.77,PT,1635038417.0
73,atuona,-9.8,-139.0333,78.19,79.0,9.0,17.52,PF,1635038417.0
75,kapaa,22.0752,-159.319,84.18,77.0,40.0,3.0,US,1635038412.0
76,te anau,-45.4167,167.7167,57.36,78.0,100.0,2.06,NZ,1635038418.0
77,cayenne,4.9333,-52.3333,78.1,91.0,75.0,0.0,GF,1635038228.0
79,hilo,19.7297,-155.09,83.28,70.0,1.0,9.22,US,1635038419.0
81,san quintin,30.4833,-115.95,62.44,72.0,8.0,19.01,MX,1635038419.0
83,gobabis,-22.45,18.9667,57.42,20.0,0.0,10.87,NA,1635038420.0
84,bilibino,68.0546,166.4372,-6.09,98.0,92.0,0.89,RU,1635038420.0
85,aban,56.67,96.06,37.81,80.0,100.0,18.48,RU,1635038420.0
86,boo,59.3333,18.2833,33.82,93.0,90.0,0.0,SE,1635038421.0
87,esmeraldas,-19.7625,-44.3139,74.26,83.0,2.0,9.42,BR,1635038421.0
88,lorengau,-2.0226,147.2712,85.05,70.0,98.0,10.4,PG,1635038422.0
